min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
246,2,20,50,61432,15621,14,0.745718843599427,0.254281156400573,0.3904745050053506,-0.0184140524844251,0.6161164451522191,0.9714285714285714,276,627.5,5186,0.3319889891812304,112.9177114999984,ok,,1.0,0.5,0.4230769230769231,0.15384615384615385,0.5384615384615384,0.9230769230769231,0.6711538461538462
246,1,10,50,61432,16726,13,0.7277314754525329,0.2722685245474671,0.3975716486126225,-0.0504478809603394,0.6034054911019808,0.9769230769230768,340,801.0,5695,0.3404878632069831,98.43191579999984,ok,,0.8653846153846154,0.7115384615384616,0.5961538461538461,0.6346153846153846,0.4423076923076923,0.4807692307692308,0.6711538461538461
307,1,10,50,61432,16726,13,0.7277314754525329,0.2722685245474671,0.3975716486126225,-0.0504478809603394,0.6034054911019808,0.9769230769230768,340,801.0,5695,0.3404878632069831,104.41189360000136,ok,,0.8653846153846154,0.7115384615384616,0.5961538461538461,0.6346153846153846,0.4423076923076923,0.4807692307692308,0.6711538461538461
184,1,10,50,61432,16548,14,0.7306289881494986,0.2693710118505014,0.3987112269037111,-0.0514493064788383,0.6032032833310046,0.9785714285714284,234,755.0,5695,0.3441503504955281,244.004952700001,ok,,0.8076923076923077,0.7692307692307693,0.6923076923076923,0.5,0.38461538461538464,0.4230769230769231,0.6519230769230769
184,1,5,60,61432,16525,17,0.7310033858575335,0.2689966141424664,0.4011003563677069,-0.0912989505112021,0.6103917493560759,0.9647058823529412,185,538.0,5378,0.325446293494705,190.0190459000005,ok,,0.9615384615384616,0.8076923076923077,0.36538461538461536,0.46153846153846156,0.6153846153846154,0.23076923076923078,0.6471153846153845
307,1,20,60,61432,16062,14,0.7385401745018882,0.2614598254981117,0.4204617934254013,-0.0092215221187451,0.5482909800217478,0.9642857142857144,344,883.5,3342,0.2080687336570788,137.83806999999797,ok,,0.38461538461538464,0.9615384615384616,0.3076923076923077,0.34615384615384615,0.8846153846153846,1.0,0.6269230769230769
307,1,20,40,61432,17172,14,0.7204714155488996,0.2795285844511004,0.3797260985325131,-0.0342323062657326,0.576687616714629,1.0,321,765.0,6318,0.3679245283018867,116.10019109999848,ok,,0.6153846153846154,0.34615384615384615,0.9807692307692307,0.6923076923076923,0.2692307692307692,0.6923076923076923,0.6009615384615384
246,1,20,50,61432,17564,17,0.7140903763510874,0.2859096236489126,0.3763533344713634,-0.0348193906239125,0.5797680714632961,0.976470588235294,258,547.0,5690,0.3239580961056706,118.79764040000008,ok,,0.6923076923076923,0.2692307692307692,0.5,0.7692307692307693,0.6538461538461539,0.6538461538461539,0.5769230769230769
184,2,20,50,61432,15598,17,0.7460932413074619,0.2539067586925381,0.3885838029350185,-0.0187737976910855,0.567293805238444,0.9823529411764704,202,490.0,5186,0.3324785228875497,387.0168005999985,ok,,0.5769230769230769,0.46153846153846156,0.7692307692307693,0.11538461538461539,0.5,0.8846153846153846,0.575
246,2,10,60,61432,16578,13,0.7301406433129314,0.2698593566870686,0.415822395159192,-0.0718240336945307,0.5513039086171914,0.9769230769230768,252,733.0,5169,0.3117987694534926,119.34072219999872,ok,,0.4230769230769231,0.9230769230769231,0.5961538461538461,0.5384615384615384,0.7307692307692307,0.3076923076923077,0.5740384615384615
307,2,20,50,61432,15646,11,0.7453118895689543,0.2546881104310456,0.422728233721567,-0.0332529877808142,0.4986809360440722,1.0,384,1011.0,5186,0.3314585197494567,108.51115319999737,ok,,0.07692307692307693,1.0,0.9807692307692307,0.23076923076923078,0.5769230769230769,0.7307692307692307,0.5605769230769231
184,1,20,50,61432,16199,19,0.7363100664148978,0.2636899335851022,0.3760601979869832,-0.0349951519781429,0.6043016399889843,0.963157894736842,215,519.0,5690,0.3512562503858263,402.1511753000013,ok,,0.9230769230769231,0.23076923076923078,0.2692307692307692,0.4230769230769231,0.34615384615384615,0.6153846153846154,0.5326923076923078
246,2,20,40,61432,15569,15,0.7465653079828103,0.2534346920171897,0.3970606677641901,-0.0174236716712448,0.5615420507474405,0.9733333333333334,261,699.0,5801,0.3725993962361102,98.56990150000274,ok,,0.5384615384615384,0.6538461538461539,0.46153846153846156,0.07692307692307693,0.19230769230769232,0.9615384615384616,0.5326923076923077
184,2,20,40,61432,15632,17,0.745539783826019,0.2544602161739809,0.385547152249857,-0.0191073204956322,0.5843905984551866,0.9647058823529412,227,590.0,5801,0.3710977482088025,340.31393169999865,ok,,0.7692307692307693,0.38461538461538464,0.36538461538461536,0.19230769230769232,0.23076923076923078,0.8461538461538461,0.5317307692307692
