result_index,n_neighbors,n_components,min_cluster_size,min_samples,stability_ari_all_mean,stability_ari_all_std,stability_ari_assigned_mean,stability_ari_assigned_std,common_assigned_share,mean_n_topics,std_n_topics,mean_outlier_rate,std_outlier_rate
46,50,20,246,2,0.6624650081515673,0.0288809019345352,0.8405168338409416,0.0918587300970546,0.1698056387550462,15.6,1.2,0.778027737986717,0.0166174511536572
28,50,10,246,1,0.6402927086099155,0.0259073539263478,0.8516160469413215,0.0860751883287454,0.1816838129964839,16.4,1.8547236990991407,0.7599915353561661,0.0237235944627196
52,50,10,307,1,0.6170249758231284,0.052401104056429,0.832976552027958,0.0969472983528596,0.2166086078916525,12.8,1.833030277982336,0.7174339106654513,0.0346530184224791
4,50,10,184,1,0.6492540146923748,0.0249301533973545,0.8510005554659003,0.0889019578462566,0.178131918218518,18.4,2.4166091947189146,0.7657800494856101,0.0211317458847007
2,60,5,184,1,0.6110982817363253,0.0382288024505359,0.8207303992417518,0.1300613633794715,0.1825905065763771,19.6,1.743559577416269,0.7527282198202891,0.012329813027677
59,60,20,307,1,0.6203936820819989,0.0508827153784719,0.7329510516929554,0.0902504446725619,0.2205625732517254,12.8,2.1354156504062622,0.7137550462299779,0.0253514613248286
57,40,20,307,1,0.6382538394820063,0.0443056656733639,0.8394233770703222,0.1002029212742063,0.1874934887355124,14.2,0.7483314773547882,0.7528975126969657,0.0173928446770132
34,50,20,246,1,0.6517911656252332,0.0284617886610414,0.8608528225596498,0.0845038699991257,0.1883464643833832,16.8,0.3999999999999999,0.7544830055996875,0.0219675932136491
22,50,20,184,2,0.6071483502200128,0.0714531756358082,0.6504436854570217,0.2520453200044315,0.1789686157051699,16.2,2.7856776554368237,0.7589757780961063,0.0382957705657432
41,60,10,246,2,0.654853319930891,0.039002471051064,0.8003254213274593,0.0858293290765173,0.1795643964057819,15.0,1.4142135623730951,0.7658386508659982,0.0291205248677318
70,50,20,307,2,0.6545496389726428,0.0271640573536886,0.8031498415714168,0.0795302211854982,0.1939168511524938,11.8,0.7483314773547882,0.7501920823023831,0.0236048569051104
10,50,20,184,1,0.5367685818447897,0.10154838096659,0.571928205391061,0.3008048225206525,0.1976640838650866,17.2,3.487119154832538,0.7239777314754525,0.0461864885253757
45,40,20,246,2,0.6414314161809938,0.0357905775848712,0.8159301865098234,0.1203580870742691,0.1730124365151712,14.8,0.7483314773547883,0.7707579111863524,0.0209988592668183
21,40,20,184,2,0.6463670205080252,0.0358014090548708,0.8630274054804307,0.1014666120565304,0.1597034119025914,17.4,1.019803902718557,0.786694231019664,0.0223866974429035
67,50,15,307,2,0.5871466582526699,0.053720944806215,0.7209473863326086,0.1121930226916677,0.1920562573251725,12.4,2.4166091947189146,0.739572209923167,0.0497418136933622
