min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
120,1,20,60,29421,11972,12,0.5930797729512933,0.4069202270487067,0.2979694428649962,-0.0759839989639508,0.5248682215239812,0.9583333333333334,120,439.0,3687,0.307968593384564,55.5471155999694,ok,,1.0,1.0,1.0,0.2,0.4,0.2,0.7400000000000001
20,1,10,10,29421,12466,249,0.5762890452397947,0.4237109547602052,0.2861632801881236,0.0019090364049298,0.3900025389242578,0.8995983935742972,20,36.0,428,0.0343333868121289,37.29723299993202,ok,,0.6,0.4,0.6,0.8,1.0,0.6,0.62
20,1,20,10,29421,12092,252,0.5890010536691479,0.4109989463308521,0.2932343506759208,0.0429145296084225,0.3883030229346968,0.898015873015873,20,33.0,436,0.0360568971220641,37.00010629999451,ok,,0.4,0.6,0.4,0.6,0.8,1.0,0.5900000000000001
20,1,15,10,29421,12682,273,0.568947350531933,0.431052649468067,0.2941718900743189,0.0220591936283003,0.3801168165537121,0.8963369963369964,20,33.0,513,0.0404510329601009,39.082212800043635,ok,,0.2,0.8,0.2,1.0,0.6,0.8,0.53
120,1,15,10,29421,12001,27,0.5920940824581081,0.4079059175418918,0.2202157987841742,-0.072136915601145,0.4949622072741213,0.9037037037037036,120,204.0,3696,0.307974335472044,25.694643200025897,ok,,0.8,0.2,0.8,0.4,0.2,0.4,0.52
