Topic,Count,Name,Representation,Representative_Docs
-1,13,-1_dormeur_indication_égorger_,"['dormeur', 'indication', 'égorger', '', '', '', '', '', '', '', '', '', '', '', '']","['effet express arriver vapeur passer coup long trottoir pitoyable traîner douloureux misère débâcle hôpital petit voiture brancard secouer avoir accident homme équipe veiller écarter voie troupeau affolé continuer bousculer sortir circulation rétablir brancardier pouvoir achever transport malade lenteur prudent', 'seul bec gaz brûler escalier endormir chaleur lourd sembler recueillir porte chaste porte riche acajou fermer alcôve honnête per soupir passer silence gens élevé retenir souffle léger bruit faire entendre pencher apercevoir m. pantoufle calotte éteindre dernier bec gaz', 'scène distraire combat déchirer augmenter fièvre déterminer lutte suprême tout rapport vague élever esprit vol malheureux folie dernier clientèle conquérir abattre pied tentateur évoquer image fier vengeur sentir gorge talon victorieux arrêter haut escalier central regarder immense nef écraser peuple femme']"
0,5397,0_toiture_géant_feuillage_rangée,"['toiture', 'géant', 'feuillage', 'rangée', 'aligner', 'nef', 'astre', 'coteau', 'doré', 'rive', 'dôme', 'blancheur', 'construction', 'border', 'étalage']","['immense plan relief aller bord ciel colline trône réserver gigantesque loge gala regarder milieu fond sombre forêt drapée horizon rideau antique verdure détacher ligne géométrique fortification pré inonder fleuve noyer sud ouest bazeille maison flamber poussière bataille embrumer', 'arbre vert sombre bleu ciel former immense rideau tirer vaste horizon autre côté plaine élargir perte vue apercevoir tache gris village milieu lac verdure culture faire grand carré couleur pâle couper ligne noir peuplier descendre lent détour', 'choisir trou bord berge élevé eau creuser baigner arbre étendre rameau dernier rayon glisser feuille semer ombrage sombre trouée lumineux venir poser rivière plaque or apercevoir eau verdure petit coin ciel sommet montagne lointain vigne champ voisin']"
1,4554,1_nation_catholicisme_pape_dogme,"['nation', 'catholicisme', 'pape', 'dogme', 'évolution', 'catholique', 'démocratie', 'civilisation', 'fécondité', 'iniquité', 'salariat', 'christianisme', 'libérer', 'solidarité', 'labeur']","['voix briser chercher punition faute permettre réaliser grand banque catholique destiner transformer société moderne rendre pape finir faire seul nation tout peuple enlever juif puissance souverain argent prédire banque inévitable invincible annoncer juste main pur fonder jour', 'homme beau dévorer lutte aveugle religion beau obstiner entasser erreur mensonge garder domination science invincible avancer jour faire lumière fraternité bonheur force irrésistible vérité emporter passé ténèbre haine finir libérer intelligence rapprocher cœur grand soleil bienfaisant père', 'avenir libérateur couple grandir volonté intelligence besogne décisif génération libérer capable équité bonté apporter pierre œuvre final attendre richesse incalculable cité aller augmenter suppression héritage accomplir permettre grand fortune individuel scandaleux empoisonneur faire produit prodigieux travail tout appartenir']"
2,3188,2_pleure_mienne_mien_ose,"['pleure', 'mienne', 'mien', 'ose', 'pense', 'catéchisme', 'caressant', 'songe', 'épouse', 'haïr', 'retourne', 'baise', 'baisa', 'désire', 'aie']","['celui méchant être jurer vouloir lâche fond désireux faire plaisir tu men raisonner venir esquiver matin déjeuner avoir toi tête lâcher pauvre maman falloir avoir courage mettre tête', 'mme soulever exaltation croissant prendre tête regarder oeil écoute pouvoir goûter joie quitter emporter certitude aller recommencer sacrifice tourment donne dernier consolation laisse partir promesse formel entendre te répéterai force rester dire', 'songer salut aller côté plaire chéri chéri toi parler obscurcir esprit aller changer cœur voilà corrupteur empoisonneur tai toi toi malheureux œuvre mensonge poison blasphème vérité justice immonde diable']"
3,2655,3_troupe_barricade_batterie_obu,"['troupe', 'barricade', 'batterie', 'obu', 'national', 'lieutenant', 'division', 'allemand', 'septième', 'artillerie', 'cinquième', 'bazeille', 'baïonnette', 'bavarois', 'convoi']","['autre voix expliquer mouvement nouveau arriver heure matin aide camp maréchal venir dire général tout armée ordre replier perdre minute écraser cinquième corps emporter autre désastre moment général veiller pont bateau désespérer voir division seul passer fleuve', 'position immobiliser cheval mouvement tournant armée allemand achever rézonville tout corps rive gauche troisième quatrième arrière attarder effroyable produire carrefour route mars-la-tour attaque audacieux cavalerie artillerie prussien couper route matin bataille lent confus', 'matin voir prussien déboucher défilé gagner bois entendre tonner canon garde commencer apercevoir autre uniforme allemand arriver coteau minute cercle fermer garde donner main cinquième corps envelopper armée français mur vivre ceinture foudroyant artillerie']"
4,3817,4_banque_capital_économie_spéculation,"['banque', 'capital', 'économie', 'spéculation', 'achat', 'financier', 'dot', 'immeuble', 'prime', 'notaire', 'hausse', 'faillite', 'universelle', 'clientèle', 'loyer']","['assemblée général avoir lieu fin avril bilan présenter porter année bénéfice million comprendre franc prime action nouveau doublement capital amortir compte établissement servir actionnaire administrateur laisser réserve somme million réglementaire rester arriver distribuer dividende franc action', 'procéder coup fièvre appliquer terrain financier méthode culture intensif chauffer surchauffer sol risque brûler récolte faire accepter conseil administration assemblée général extraordinaire réunir septembre augmentation capital doubler élever million créer action nouveau réserver actionnaire titre titre', 'accusation reprocher capital cesse augmenter enfiévrer cours faire croire société posséder intégralité fonds simulation souscription versement effectuer grâce compte ouvrir autre homme paille payer jeu écriture distribution dividende fictif forme libération ancien titre achat société propre action tout spéculation effréné produire hausse extraordinaire factice universelle mourir']"
5,5277,5_oreiller_insomnie_recoucher_ronfler,"['oreiller', 'insomnie', 'recoucher', 'ronfler', 'séant', 'rendormir', 'respiration', 'hurlement', 'râle', 'parquet', 'serrure', 'inerte', 'dormant', 'peignoir', 'canapé']","['silence nuit sembler souffrir étendre drap bougie éteint entendre voix bref approcher lit écarter rideau rejeter coin couverture jeune femme adosser grand armoire regarder faire air étrange', 'lampe charbonner fermer paupière aveugler clarté louche reprendre sommeil lutter minute promener regard vaisselle table débandade chaise serviette pendre air lourd silence écraser succomber paupière refermer lèvre avoir petit souffle régulier milieu désordre tragique dîner interrompre veille', 'distinguer lit drap rejeter tordre glisser terre vêtement épars traîner couverture milieu lambeau allonger forme blanc indécis croire avoir cadavre chandelle montrer moment main couche agiter rapide convulsion chevet dresser vieux femme']"
6,5714,6_soupe_lorilleu_litre_gervaise,"['soupe', 'lorilleu', 'litre', 'gervaise', 'blanchisseur', 'zingueur', 'fromage', 'gueuler', 'sucre', 'rigoler', 'casserole', 'fourrer', 'oie', 'gigot', 'veau']","['avoir vice devenir avoir prise maman hocher tête jour fait lorilleu cause grand repas coupeau donner aimer cuisine bavardage casserole maison mettre air noce jour fête entendre ordinaire', 'heure demie pot-au-feu bouillir gros marmite prêter restaurant côté marmite ménage sembler petit décider accommoder veille blanquette veau épinée cochon plat meilleur réchauffer lier sauce blanquette moment mettre table rester besogne lundi potage pois lard oie rôtir', 'zingueur dire falloir prévenir maman coupeau lorilleu crever faim vouloir dîner gros ennui accouchée voir servir courir cuisine chercher ragoût manger assiette creux trouver pain défense lamenter tourner drap bête pouvoir mettre table colique asseoir terre coup bâton']"
7,4725,7_épouse_maternité_implacable_virginité,"['épouse', 'maternité', 'implacable', 'virginité', 'renoncement', 'lâcheté', 'martyre', 'voluptueux', 'veuve', 'union', 'sein', 'madeleine', 'étreindre', 'abnégation', 'dévouer']","['voir bras torturer évoquer spectacle étrange adultère unir étreinte chaud femme ami détail remettre plan drame perdre actualité poignant apercevoir amant façon vague passé lointain chair avoir révolte cuisant', 'donner vierge pouvoir mêler volupté présenter sensation vivant volupté passer avoir point ignorance retrouver doute contact fièvre amant connaître devoir songer homme bras aller dire goûter plaisir monstrueux évoquer jouissance passé doubler présent quell duperie infâme cruel', 'attendrissement gagner tout pensée mort pitoyable amant ajouter plainte sortir livre bouleverser pitié grand véritable angoisse charité tout misérable tout souffrant monde éperdre évocation plaie physique moral voir injuste monstrueux souffrance avoir peur éclater']"
8,7588,8_thé_malle_loge_cocher,"['thé', 'malle', 'loge', 'cocher', 'piano', 'vestibule', 'compliment', 'mademoiselle', 'perron', 'cuisinière', 'canapé', 'confection', 'amabilité', 'complimenter', 'migraine']","['vouloir lever descendre enfant bras désireux accompagner sœur ami étage demi-heure constance mme trouver enfermer mme grand conférence éviter nommer jouer rôle amie complaisant accompagner amie circonstance délicat sage femme flair profession deviner client possible dame curieux accabler question singulier', 'femme proviseur joli blonde vêtue toilette bleu ciel piquant effet causer gros émotion prier excellence excuser mari retenir lycée attaque goutte prendre veille soir rentrer autre personnage arriver colonel 78e ligne caserné président tribunal commerce juge paix ville conservateur eau forêt accompagner demoiselle conseiller municipal délégué chambre consultatif', 'dire recevoir inviter minuit précis théâtre banquier rayonnant cligner oeil ajouter donner mot valeur particulier être dire affecter comprendre vouloir remercier article venir heureux autre récompense propos payer']"
