min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error
20,1,5,10,5327,3236,57,0.3925286277454477,0.6074713722545523,0.2908298887739278,-0.0590648441208631,0.4266597395114325,0.9017543859649124,20,35.0,415,0.1282447466007416,12.275852750000922,ok,
20,1,5,25,5327,2900,58,0.4556035291909142,0.5443964708090858,0.2359281459416393,-0.0628530074064447,0.4367240620032845,0.9172413793103448,20,30.5,285,0.0982758620689655,8.461555791000137,ok,
20,1,5,50,5327,2571,42,0.5173643701896001,0.4826356298103998,0.264269432742467,-0.0671290423363086,0.4287972459424442,0.9095238095238096,21,35.5,329,0.1279657720731233,10.15217066600053,ok,
20,1,10,10,5327,3261,63,0.3878355547212314,0.6121644452787686,0.2649826393016862,0.0155704329485434,0.4324774838380318,0.9301587301587302,20,35.0,199,0.0610242256976387,6.23987337500148,ok,
20,1,10,25,5327,2718,47,0.4897691008072085,0.5102308991927915,0.2578603360944815,-0.0406409530177736,0.4277544117085132,0.9212765957446808,21,43.0,296,0.1089036055923473,8.07335412500106,ok,
20,1,10,50,5327,5015,2,0.0585695513422188,0.9414304486577812,-0.1612711788645576,-0.3006347779125997,0.348035036132994,1.0,30,2507.5,4985,0.9940179461615156,11.94309479200092,ok,
20,5,5,10,5327,4952,2,0.0703960953632438,0.929603904636756,-0.1137125711478129,-0.4522319300260214,0.3734163111301112,1.0,29,2476.0,4923,0.9941437802907916,6.674624291999862,ok,
20,5,5,25,5327,1716,22,0.6778674676177961,0.3221325323822038,0.4239216041828961,0.0148410159385155,0.5117383445592253,0.9318181818181818,21,54.5,330,0.1923076923076923,7.207086500000514,ok,
20,5,5,50,5327,1871,22,0.6487704148676553,0.3512295851323447,0.3568140390792358,-0.0012494467076761,0.4246879541087708,0.9272727272727272,20,54.0,247,0.1320149652592196,9.591225041000143,ok,
20,5,10,10,5327,2474,40,0.5355734935235592,0.4644265064764408,0.3664608516423178,0.085553013095934,0.4451955230629035,0.93,22,38.5,249,0.1006467259498787,5.653296958000283,ok,
20,5,10,25,5327,1891,24,0.6450159564482824,0.3549840435517176,0.4116003234680699,0.087559097703856,0.4596218634784379,0.9541666666666668,21,36.0,457,0.2416710735060814,7.537151458000153,ok,
20,5,10,50,5327,1806,21,0.6609724047306176,0.3390275952693824,0.374767207311925,0.0229546671782056,0.4201767203394954,0.9428571428571428,22,41.0,441,0.2441860465116279,9.82298549999905,ok,
20,10,5,10,5327,2013,29,0.622113760090107,0.377886239909893,0.4290009010903051,0.103311132087032,0.4705050224485706,0.9448275862068966,24,49.0,225,0.1117734724292101,5.234909957998752,ok,
20,10,5,25,5327,1473,21,0.7234841374131782,0.2765158625868218,0.4778740972330602,0.072875043048245,0.4599878691705995,0.9571428571428572,20,40.0,303,0.2057026476578411,7.075492124997254,ok,
20,10,5,50,5327,1339,17,0.7486390088229773,0.2513609911770227,0.4087904290350011,0.0343306317612434,0.4558433530403412,0.9647058823529412,21,53.0,196,0.1463778939507095,9.389079042000958,ok,
20,10,10,10,5327,2070,25,0.6114135535948939,0.3885864464051061,0.4385975631613157,0.1035488820901243,0.4558103043610942,0.964,20,49.0,543,0.2623188405797101,5.351119083999947,ok,
20,10,10,25,5327,1558,18,0.7075276891308429,0.2924723108691571,0.4617933279633652,0.0687854853252856,0.44126078604161,0.9333333333333332,20,33.5,400,0.2567394094993581,7.386881166999956,ok,
20,10,10,50,5327,1672,16,0.6861272761404168,0.3138727238595832,0.4443088491986334,0.0191358496321272,0.4512354011109343,0.9625,20,48.5,478,0.2858851674641148,9.72779166699911,ok,
