Topic,Words,Frequency,Class
25,"médecine, pareil désespoir, ami domestique, astre minute, perte catastrophe",2,La joie de vivre.
26,"côté roche, errant ras, paupière léger, robe couleur, convenable côté",2,La joie de vivre.
27,"conseil famille, timbale, curateur, digital, chanteau",6,La joie de vivre.
0,"porte monnaie, jambe gauche, bureau feuille, hôtel escalier, empereur instant",15,Son Excellence Eugene Rougon.
1,"cure dent, cure, kiosque, cordelière, profond bête",3,Son Excellence Eugene Rougon.
2,"philharmonique, société philharmonique, prince impérial, excellence, vive",8,Son Excellence Eugene Rougon.
3,"amendement, tribune, orateur, paragraphe adresse, paragraphe",3,Son Excellence Eugene Rougon.
4,"chevalier, clorinde, projet loi, présentation projet, légation",20,Son Excellence Eugene Rougon.
5,"créature esprit, reine riche, fort passion, silencieux mépris, véritable chagrin",1,Son Excellence Eugene Rougon.
6,"concession, président tribunal, portefeuille, tourniquet, tribunal commerce",20,Son Excellence Eugene Rougon.
7,"brigadier, projet loi, président procureur, commissaire central, aubergiste",21,Son Excellence Eugene Rougon.
8,"tribune, orateur, parlement, sincérité élection, loi sûreté",6,Son Excellence Eugene Rougon.
9,"tourniquet, bock, collier, consommateur, commandeur",12,Son Excellence Eugene Rougon.
11,"empire libéral, buvette, noir landau, réconciliation parti, chapeau claque",1,Son Excellence Eugene Rougon.
12,"cravache, chapelet, boulet pied, chatouilleux, sabot cheval",6,Son Excellence Eugene Rougon.
13,"américain, cristallerie, plat porcelaine, foi républicain, dîner odeur",2,Son Excellence Eugene Rougon.
14,"roman affaire, ménage premier, mois écart, humilité simple, obèse",2,Son Excellence Eugene Rougon.
15,"ordre ordre, rapporteur, excellence, orateur, liberté liberté",11,Son Excellence Eugene Rougon.
16,"café côté, sergent ville, ingénieur chef, commercial, moniteur",4,Son Excellence Eugene Rougon.
17,"bout pont, académicien, dernier élection, rigole, face portière",5,Son Excellence Eugene Rougon.
19,"brouhaha salle, soie vert, procès verbal, verbal, congé doute",1,Son Excellence Eugene Rougon.
20,"palet, chef bureau, chevalier, chambellan, verre sucrer",11,Son Excellence Eugene Rougon.
21,"ministère ami, solide fort, rancunier, toilette chambre, boudoir",6,Son Excellence Eugene Rougon.
22,"quai quai, maison quai, double haie, place face, cap",1,Son Excellence Eugene Rougon.
23,"mot léger, cigarette, diable domestique, pétition, brigadier",10,Son Excellence Eugene Rougon.
24,"conserve, guitare, cabinet toilette, velours noir, ballon",5,Son Excellence Eugene Rougon.
25,"délibération, rapporteur, tribune, projet loi, loi intérêt",1,Son Excellence Eugene Rougon.
26,"dame empereur, culotte court, méfier vou, méfier, sénateur",5,Son Excellence Eugene Rougon.
27,"veillée bonhomme, collègue, meute, proviseur, institution impérial",9,Son Excellence Eugene Rougon.
28,"surprise léger, cour face, mise pauvre, foule dernier, inquiet brusque",2,Son Excellence Eugene Rougon.
0,"trompe, tant, cantonnement, sonnerie, marraine",8,La bete humaine.
1,"express, coupé, compartiment, frise, conducteur",18,La bete humaine.
2,"voisin couloir, midi fenêtre, jeudi samedi, soir jeudi, sous chef",3,La bete humaine.
3,"manette, cylindre, chauffeur, accident faute, ménage dispute",1,La bete humaine.
4,"chauffeur, sous chef, cavale, baiser profond, mangeon",8,La bete humaine.
5,"embrass, chéri peur, embrasse embrass, tunnel, embrasse",10,La bete humaine.
6,"secrétaire général, cher juge, président cour, visite matin, face lourd",3,La bete humaine.
7,"question président, atténuant, circonstance atténuant, procureur impérial, assesseur",1,La bete humaine.
8,"vitesse, tunnel, conducteur, droit bête, marche entier",5,La bete humaine.
9,"cherche, sous chef, halle couvert, dépôt, buraliste",6,La bete humaine.
11,"tunnel, ballast, aiguilleur, sain sauf, flore",10,La bete humaine.
12,"poing couteau, tranchée, flocon, train wagon, flot rouge",7,La bete humaine.
13,"cantine, toit haut, vitrage toit, réveille, express",4,La bete humaine.
15,"secrétaire général, rapport bel, legs, piste, cabinet juge",5,La bete humaine.
16,"chef exploitation, compartiment vide, garde barrière, sous chef, soupape",5,La bete humaine.
17,"chauffeur mécanicien, sous chef, arrestation, triste affaire, interrogatoire",4,La bete humaine.
18,"bague, coup ci, ci, nom garce, coup",7,La bete humaine.
19,"interrogatoire, secrétaire général, accusé, version, carrier",9,La bete humaine.
20,"express, manomètre, conducteur, cendrier, conducteur chef",11,La bete humaine.
21,"carrier, gant mouchoir, dernier vivant, rue hôtel, donation",6,La bete humaine.
22,"tunnel, tunnel train, tunnel minute, cochon cochon, grondement roue",3,La bete humaine.
23,"chef gare, tunnel, sous chef, changement marche, tringle",13,La bete humaine.
24,"impatience raison, arrivée voiture, égard ancien, enfance peur, sût",1,La bete humaine.
26,"bête sauvage, flore, dame anglais, fardier, anglais",2,La bete humaine.
27,"coupé, vitesse kilomètre, service gare, commissaire surveillance, vitesse",4,La bete humaine.
0,"rideau lueur, pays côté, soleil volet, nuage noir, inconnue",11,La faute de l abbe Mouret.
1,"séminaire, cellule, lis, parterre, courbe mou",21,La faute de l abbe Mouret.
2,"calice, cerise, hostie, patène, parterre",17,La faute de l abbe Mouret.
4,"étole, argent doré, chasuble, messe curé, purificatoire",3,La faute de l abbe Mouret.
5,"arbre ciel, buisson, jupe broder, parfum haleine, rosier",16,La faute de l abbe Mouret.
6,"route abbé, motte, vêpres, crin, mûrier",5,La faute de l abbe Mouret.
7,"gaillard souple, net prêtre, mort vou, brique cuite, tranquille couteau",2,La faute de l abbe Mouret.
9,"olivier, branche olivier, prêtre oncle, argent abbé, buisson",6,La faute de l abbe Mouret.
10,"cher frère, vitre papier, chapon, trou fourmi, bréviaire",9,La faute de l abbe Mouret.
11,"cercueil, paillette, corde confessionnal, allée gros, tilleul",6,La faute de l abbe Mouret.
12,"moineau, clochette, calice, ocre, burette",14,La faute de l abbe Mouret.
13,"ver, poule poule, croûte, coq, riz",4,La faute de l abbe Mouret.
14,"croix argent, pinceau, bouquin, chandelier, maître autel",3,La faute de l abbe Mouret.
15,"fauvette, cyprès, motte, douceur vou, ombre champ",3,La faute de l abbe Mouret.
16,"bête jupe, chambre peur, faune, souris, coq",3,La faute de l abbe Mouret.
17,"falbala, colline, paix heureux, séminaire année, herbe rude",3,La faute de l abbe Mouret.
18,"cabriolet, plantain, coquelicot, catéchisme, arbre arbre",13,La faute de l abbe Mouret.
20,"prêtre docteur, gaillard joli, tranquille réponse, tante oncle, science soutane",1,La faute de l abbe Mouret.
21,"parterre, bruit bottine, rocaille, grotte, ortie",3,La faute de l abbe Mouret.
22,"clairière, tuile église, jardin heureux, trou arbre, rosier",7,La faute de l abbe Mouret.
23,"prune, peigne, burette, génuflexion, manuterge",5,La faute de l abbe Mouret.
24,"grand messe, motte, bas ronflement, veu cochon, adoration gloire",2,La faute de l abbe Mouret.
25,"rosier, lèvre rose, bord voile, rose bois, rire fin",5,La faute de l abbe Mouret.
26,"œillet, héliotrope, parterre, pavot, plafond bleu",4,La faute de l abbe Mouret.
27,"sceau, parterre, cirque immense, front pensée, inquiet désolée",4,La faute de l abbe Mouret.
28,"chambre usage, dame roi, inquiet abbé, carte paquet, besoin trou",1,La faute de l abbe Mouret.
0,"bouquetière, compte tutelle, maître portefaix, geôlier, barque",12,1867 Les mysteres de Marseille.
1,"pièce franc, tripot, franc pièce, maison côte, tapis vert",8,1867 Les mysteres de Marseille.
2,"thym, veu besoin, nouveau geôle, triste voyage, abri misère",2,1867 Les mysteres de Marseille.
3,"manifestation, tripot, délégué, fripon, cercle tripot",3,1867 Les mysteres de Marseille.
4,"procureur roi, lorette, manant, prêtre noble, usurier",4,1867 Les mysteres de Marseille.
5,"sursis, humiliation, grave reproche, passion position, position désir",1,1867 Les mysteres de Marseille.
6,"usurier, barricade, armateur, coquin, scélérat",30,1867 Les mysteres de Marseille.
7,"procuration, immeuble, armateur, hypothèque, austère",22,1867 Les mysteres de Marseille.
8,"barricade, garde national, insurgé, baïonnette, insurrection",18,1867 Les mysteres de Marseille.
9,"joueur carte, jeu carte, maître portefaix, ponte, portefaix",1,1867 Les mysteres de Marseille.
10,"bouquetière, exposition public, exposition, geôlier, mademoiselle",11,1867 Les mysteres de Marseille.
11,"tendresse lit, gai couple, paisible fort, long colline, quête voiture",1,1867 Les mysteres de Marseille.
12,"poteau, plate forme, devanture boutique, hospice, condamné",7,1867 Les mysteres de Marseille.
13,"bastidon, bastidon quartier, fugitif, obstacle gendarme, colline espérance",1,1867 Les mysteres de Marseille.
14,"créancier, faillite maison, idée républicain, bail, luxe plaisir",7,1867 Les mysteres de Marseille.
15,"cheveu rouge, club, franc besoin, diligence, garde national",9,1867 Les mysteres de Marseille.
16,"table jeu, table drap, amour chagrin, noir tacher, salle sourire",1,1867 Les mysteres de Marseille.
17,"lorette, joie heureux, usurier, gouvernante, prêtre triste",3,1867 Les mysteres de Marseille.
18,"petit neveu, portefaix, neveu année, entier voiture, sévérité haut",3,1867 Les mysteres de Marseille.
19,"bastidon, intimidation, hypothèque, réquisitoire procureur, déposition",5,1867 Les mysteres de Marseille.
20,"rat cave, chaise poste, rat, maître portefaix, portefaix",3,1867 Les mysteres de Marseille.
21,"geôlier, portefaix, bouquetière, épidémie, opinion opinion",10,1867 Les mysteres de Marseille.
23,"bouquetière, caban, idée soudain, fenêtre palier, palier étage",7,1867 Les mysteres de Marseille.
24,"savonnerie, mer ciel, manufacturier, bouquetière, portefaix",8,1867 Les mysteres de Marseille.
25,"fugitif, profond chant, chant amour, délicat amour, droit ménage",1,1867 Les mysteres de Marseille.
26,"bruit aventure, bas demoiselle, service force, amertume parole, frère demoiselle",1,1867 Les mysteres de Marseille.
27,"armateur, évasion, compte oncle, énergie étude, actif maison",3,1867 Les mysteres de Marseille.
28,"suicidé, sang doigt, club, éclaboussure, pièce flot",2,1867 Les mysteres de Marseille.
0,"propre brin, gaieté force, lumière bougie, chapeau franc, rue domicile",2,1865 La confession de Claude.
1,"fange, rose rire, satiété, grabat, soie bleu",3,1865 La confession de Claude.
2,"rosée, soleil ombre, peuplier, clarté blanc, malsain",2,1865 La confession de Claude.
4,"fard, frère peur, miroir, estime, santé lèvre",2,1865 La confession de Claude.
5,"lueur bleu, mansarde, lèvre pâle, apaisement, pâquerette",13,1865 La confession de Claude.
10,"courant cœur, source profond, marche sang, pleur rire, parole souvenir",2,1865 La confession de Claude.
11,"doux lointaine, caillou trou, mois charme, chaise chevalet, chasse existence",1,1865 La confession de Claude.
12,"jaloux jaloux, plein vent, fard, pâquerette, songe",4,1865 La confession de Claude.
13,"pied banc, stupeur profond, regard groupe, volupté dégoût, heureux misère",1,1865 La confession de Claude.
21,"dernier amant, séparer, pâquerette, toux, malade paresseux",1,1865 La confession de Claude.
22,"songe, infâme, mansarde, paix suprême, fange",32,1865 La confession de Claude.
26,"culotte court, mensonge vérité, éclat gaieté, viande froid, guéridon",2,1865 La confession de Claude.
0,"fléau, borderie, chambre conjugal, fermier, grêlon",21,La terre.
1,"écuelle, cuillère, contrariant, seigle, rue juif",5,La terre.
2,"haricot pois, haricot, pois, sommeil plomb, betterave",3,La terre.
3,"impôt, laboureur, égalité, liberté égalité, paysan paysan",10,La terre.
4,"marteau fer, vigne, raisin, minute silence, vendange",4,La terre.
5,"vache vache, vache, faneur, men, foin",5,La terre.
6,"hotte, gueulebée, panier hotte, chandell, vrai peine",7,La terre.
7,"cruche, gage, marraine, conscrit, candidat",5,La terre.
8,"atout, jar, atout atout, taxe, porcher",3,La terre.
9,"berger, garde champêtre, litre, baquet, champêtre",42,La terre.
10,"fourchée, verre sou, mur immobile, soûlerie matin, porte biais",2,La terre.
11,"bergerie, semoir, vache, litière, gerbe",17,La terre.
12,"veau, vache, vétérinaire, étable, borderie",17,La terre.
13,"cosse, meuglant, taureau, châtaigne, vacherie",6,La terre.
14,"lot, fagot, lopin, démission bien, tricot",11,La terre.
15,"charrue, soc, veau oignon, paysan mort, mancheron",6,La terre.
16,"vache, cotentine, omelette, ancien beau, trombone",5,La terre.
17,"café café, déshonor fouet, travail larme, poussée sang, affaire lèvre",3,La terre.
18,"porcher, luzerne, trimestre, papier timbrer, saladier",9,La terre.
19,"sale trouille, are, vigne, trouille, hectare",1,La terre.
20,"borderie, garde champêtre, lièvre, lot, marraine",16,La terre.
21,"setier, franc hectare, hectare demi, hectare, labour",4,La terre.
22,"trappe, malheur malheur, pied colère, canaille raison, vague pied",1,La terre.
23,"magot, salop, étable, page écriture, sœur maison",10,La terre.
24,"huissier gendarme, pauvre sœur, veillée, faim hiver, meuble carreau",3,La terre.
25,"tambour, curé pauvre, question maire, porte pente, chapeau superbe",3,La terre.
26,"pistole, vache, possibilité, noir joli, prix sorte",1,La terre.
27,"confiserie, pauvre chéri, dur jeunesse, culotté, bouteille bière",2,La terre.
0,"attentat, robinet, lycée, moteur, bicyclette",13,Paris.
1,"men, détresse néant, vaste atelier, loyal, bicyclette",16,Paris.
2,"bicyclette, pilier, basilique, prêtre blanc, énorme terrifiant",10,Paris.
3,"évangile, catholicisme, apôtre, socialiste, bombe",19,Paris.
4,"critique, cabinet horreur, bandeau, billet loterie, satin jaune",6,Paris.
5,"armée ville, frère tour, dessein, tâche amour, engin guerre",11,Paris.
6,"baron, asile travail, gendre place, embarras sœur, futur gendre",11,Paris.
7,"tribune, baron, interpellation, grave affaire, délation",18,Paris.
8,"souffrance bête, clair situation, extraordinaire flot, arrestation misérable, remise tonneau",1,Paris.
9,"admission, crise ministériel, anarchiste, ministériel, exemple sort",3,Paris.
10,"idée prêtre, désespéré moment, pauvre vrai, mariage fin, charité impuissant",8,Paris.
11,"cuve, vérité commun, porte cheveu, peuple scandale, escalier cri",7,Paris.
12,"bicyclette, route forêt, naissance élevé, bombe café, sourd long",3,Paris.
13,"radis, envie point, abbé pardon, cours cuisine, malheureux rire",1,Paris.
14,"poignet cassé, réunion public, république, chimie, universitaire",5,Paris.
15,"baron, liste, bombe, vote, communisme",19,Paris.
16,"guillotine, cordon garde, aumônier, gâteau sec, salon argent",7,Paris.
17,"cher collègue, marié famille, lunch, salon argent, salon rouge",5,Paris.
18,"retraite point, dernier rendez, raison faveur, façade bel, raison retraite",1,Paris.
19,"jury, dynamite, arrestation, délibération, poudre dynamite",6,Paris.
20,"mondésir, chimie, baron, liste, fenêtre abbé",8,Paris.
21,"ministère ministère, famille groupe, commission enquête, solidaire, espérer doute",3,Paris.
22,"amour amour, amour cœur, émoi, désespéré clair, effrayant minute",2,Paris.
23,"agent garde, cri léger, taillis épais, bicyclette, battue",3,Paris.
24,"culotte, misère digne, digne intérêt, scène scène, aimable princesse",8,Paris.
25,"moteur, heureux heureux, burin, graveur, vrai jeunesse",7,Paris.
26,"lilas, pauvre maman, prunier, mot gaillard, laboratoire chimiste",2,Paris.
27,"personne écart, droit jambe, effort impuissant, entier énorme, pauvre secours",1,Paris.
28,"professorat, explosif, bombe, dynamite, premier question",2,Paris.
0,"trouche, prêtre fenêtre, séminaire, surprenant, curé éloge",19,La conquete de Plassans.
1,"cuisinière jardin, vicaire, diocèse, bruit porte, société long",3,La conquete de Plassans.
2,"buis, cafetière, arbre fruitier, haut bouteille, salle armoire",1,La conquete de Plassans.
4,"trouche, tanneur, bois rustique, année misère, livre cerise",11,La conquete de Plassans.
6,"trouche, sous préfecture, impasse, nappe autel, tonnelle",14,La conquete de Plassans.
7,"vicaire, salon vert, diocèse, sous préfecture, tonnelle",31,La conquete de Plassans.
8,"candidat, sarment, côté sous, porte fils, flamme chambre",3,La conquete de Plassans.
9,"vin vin, rougon, sirop, orgue cérémonie, jupe froid",4,La conquete de Plassans.
10,"cure, trouche, girouette, reposoir, perplexité",6,La conquete de Plassans.
12,"mal volonté, secours chambre, cheveu mèche, prêtre croisé, lutte mal",1,La conquete de Plassans.
13,"servante fils, assiette pain, dîner plat, dîner point, cuisinière moment",1,La conquete de Plassans.
14,"table ouvrage, rideau rouge, maison heureux, fenêtre étage, accoutumé terrasse",2,La conquete de Plassans.
15,"sous préfecture, impasse, candidature, trouche, raquette",7,La conquete de Plassans.
17,"sous préfecture, comité, bande sous, raquette, bréviaire",22,La conquete de Plassans.
18,"trouche, égratignait, cabanon, rempart, porte maison",7,La conquete de Plassans.
19,"vicaire, oreille exclamation, bel dévot, tapis léger, désir place",1,La conquete de Plassans.
20,"vin chaud, pompier, rue drôle, part feu, rappel",4,La conquete de Plassans.
21,"oratoire, oratoire œuvre, gros rhume, sous préfet, sous préfecture",6,La conquete de Plassans.
23,"trouche, limace, cordonnier, porte trouche, coffre",10,La conquete de Plassans.
24,"préfet gros, église bout, partie cercle, droit porte, douillette",5,La conquete de Plassans.
26,"poupée, tabouret, poirier, sous préfecture, douairière",4,La conquete de Plassans.
27,"mère invitation, invitation, belle mère, regard aigle, singulier face",3,La conquete de Plassans.
0,"morsure, peau chair, passage escalier, gloria, fenêtre toit",8,1867 Therese Raquin.
1,"nouveau époux, jeudi soir, dénouement sinistre, soir passage, sang nerf",16,1867 Therese Raquin.
2,"noyé, bout épaule, chaise bas, soir noce, vitrage",2,1867 Therese Raquin.
4,"tante mari, domino, mercerie, commerce mercerie, porte magasin",5,1867 Therese Raquin.
5,"innocent innocent, spectre, revien, men, mauvais rêve",5,1867 Therese Raquin.
6,"foi occasion, drôle muet, pareil liaison, point occasion, humide triste",1,1867 Therese Raquin.
7,"pie, roulier, noir ardent, réflexion silence, parti voyage",1,1867 Therese Raquin.
9,"luxure, profond vice, inutile paresse, idée parole, avance point",1,1867 Therese Raquin.
10,"pensée miséricorde, comédie remords, paralytique, monologue, impotente",3,1867 Therese Raquin.
11,"vitrine, barque, genou impotente, morsure cou, morsure",3,1867 Therese Raquin.
12,"canotier, barque, cicatrice, tête, nerf crise",12,1867 Therese Raquin.
13,"nuptial, instant porte, plaisanterie paysan, vin repas, balbutièrent",2,1867 Therese Raquin.
14,"faux col, marchand toile, atelier franc, bénéfice commerce, commerce mercerie",4,1867 Therese Raquin.
15,"chien chat, impotent, fusain, barbe blanc, toile artiste",2,1867 Therese Raquin.
16,"couverture chaud, canot, chat tigré, tigré, senteur cloître",3,1867 Therese Raquin.
17,"mercier, comédie dénouement, malheureux contraire, tranquille soirée, regard atroce",1,1867 Therese Raquin.
18,"camarade collège, mauvais chance, histoire caractéristique, pensée amant, appétit glouton",2,1867 Therese Raquin.
21,"impotente, paralytique, domino, visage sinistre, volonté implacable",7,1867 Therese Raquin.
22,"passage sorte, rouge souffrance, boutique entier, passion prudence, comptoir peur",1,1867 Therese Raquin.
27,"immobile impénétrable, poison crime, passage conscience, parole indifférence, sorte vapeur",1,1867 Therese Raquin.
0,"praline, sonnerie, coeur, champagne, chic",25,Nana.
1,"coeur, bruit savate, surprit, pinceau, rue coin",9,Nana.
2,"rouge gorge, oriflamme, cheveu mouiller, noeud, chiffonnière",6,Nana.
4,"coeur, peignoir, anglais, chic, cabinet toilette",25,Nana.
5,"cent ligne, fièvre jambe, acte réplique, escalier chancelant, ligne lettre",2,Nana.
6,"pesage, jockey, salle pesage, bouche nez, lit jambe",3,Nana.
7,"bookmaker, soir comtesse, comte moment, invitation, avant scène",7,Nana.
9,"champagne, mufe, coeur, franc comte, boulanger",21,Nana.
10,"honte vivant, ambition fortune, commun conseil, comte phrase, dur fort",3,Nana.
12,"chambellan, gifle, ciel beal, conscience malheur, peine allongé",3,Nana.
13,"souper, honte famille, mouchoir mouchoir, grog, truffe",6,Nana.
14,"trait sang, cocu, ciel humble, humble triomphe, signe porte",2,Nana.
15,"pont bois, valse, fêlure, journaliste, chef bureau",4,Nana.
16,"ouvreus, avant scène, bordel, bookmaker, bravo",16,Nana.
17,"altesse, coeur, psyché, exposition dame, bézigue",13,Nana.
18,"coeur, souper, toquade, merde, matin franc",25,Nana.
20,"altesse, choeur, répétition, champagne, coulisse",18,Nana.
21,"champ course, parieur, journaliste, chronique, liberté entier",9,Nana.
22,"reine puissant, comblée, oreille lendemain, gris bout, genou reine",1,Nana.
23,"fraise, queue escalier, succès veille, moeurs, ombre doute",7,Nana.
24,"cré nom, cré, machiniste, figurant, tante bébé",8,Nana.
26,"chevreuil, soupe chou, laque, maître hôtel, colère appétit",5,Nana.
27,"rôle duchesse, duchesse, valse, éther, bobo",5,Nana.
28,"échalote, bookmaker, chaud verre, explication cri, bande torche",2,Nana.
0,"ballon rouge, façonnier, cent pièce, ballon, escalier pont",5,Au Bonheur des dames.
1,"accoucheur, inspection, patron mariage, comptoir confection, maison question",7,Au Bonheur des dames.
2,"hall, soierie, bonheur dame, mercerie, réclame",9,Au Bonheur des dames.
3,"nombre rayon, folie vue, veau rôtir, rayon nombre, vrai fier",1,Au Bonheur des dames.
4,"bonheur dame, confection, lingère, lingerie, salon oriental",38,Au Bonheur des dames.
5,"machine superbe, accord volonté, boutique larme, famille simple, complet table",2,Au Bonheur des dames.
6,"baron, argent chair, rein solide, dame cher, bonheur dame",8,Au Bonheur des dames.
7,"pâle amant, pied plaie, exécution besoin, cher amant, véritable forêt",1,Au Bonheur des dames.
8,"supposition abominable, part rayon, mort châle, continuelle catastrophe, allure dame",1,Au Bonheur des dames.
9,"monture, éventail, bonheur dame, artichaut, soie fantaisie",16,Au Bonheur des dames.
10,"lent agonie, lingère, corbillard, bonnetier rue, déjeuner course",5,Au Bonheur des dames.
11,"sous sol, ballot, chef rayon, glissoire, bonheur dame",10,Au Bonheur des dames.
12,"mise vente, spécimen, soubassement, défalcation, mosaïque faïence",3,Au Bonheur des dames.
13,"omelette, lingère, éventail, supplément, pièce amour",2,Au Bonheur des dames.
14,"drapier, cravate franc, sorte ancien, tremblement gorge, demoiselle honneur",3,Au Bonheur des dames.
15,"démolisseur, hall, caissier, demie demie, vendeur rayon",8,Au Bonheur des dames.
16,"hall, casier, bonheur dame, ganterie, confection",17,Au Bonheur des dames.
17,"corset, trousseau, bonheur dame, sacoche, auxiliaire",11,Au Bonheur des dames.
18,"hypothéquée, avenir désespéré, sorte continuel, paradoxal, salon regard",2,Au Bonheur des dames.
20,"confection, bureau inspecteur, histoire lettre, cocotte, mari couteau",8,Au Bonheur des dames.
21,"visage doux, flatterie, illusion dernier, riche silence, bottine léger",3,Au Bonheur des dames.
22,"doigt genou, lieu affaire, élan cri, jambe tremblement, balbutiant mot",1,Au Bonheur des dames.
23,"cravate, fort fort, nœud cravate, épingle, renvoi",12,Au Bonheur des dames.
24,"yole, caboulot, cheviotte, dame instant, drapier",9,Au Bonheur des dames.
26,"lingerie, paquet voiture, entresol, bonheur dame, échantillonnage",7,Au Bonheur des dames.
27,"dite genou, rassortiment, silence porte, stock, rude rayon",4,Au Bonheur des dames.
28,"commerce nouveauté, comptoir client, nouveauté, fonctionnement, caisse central",5,Au Bonheur des dames.
0,"cent million, canaille voleur, créance, œuvre travail, rédacteur",2,L argent.
1,"œuvre travail, société action, immense domaine, compagnie chemin, achat",5,L argent.
2,"calcaire, guichet, mine argent, tracé, local",2,L argent.
3,"collectivisme, production, noir fourmilière, état social, calembour",6,L argent.
4,"tartine, confiture, long heureux, capital million, syndicat",19,L argent.
6,"obligation, couvert prêt, argent mal, content dernier, société couvert",11,L argent.
7,"chef cuisine, cher haut, solliciteur, cabinet bureau, mot gentil",6,L argent.
8,"travée, comptant, haussier, fondé, raffermir",2,L argent.
9,"assemblée, syndicataire, ligne journal, assemblée général, actionnaire",7,L argent.
10,"cours franc, billet banque, acompte, gaillard sou, bonheur général",5,L argent.
11,"soir fortune, invincible espoir, camélia, ferment, aquarelle",3,L argent.
12,"coffret, halein, oreille bracelet, vaniteux sec, papa peur",2,L argent.
14,"couronnement édifice, couronnement, affaire superbe, ère, favorable affaire",4,L argent.
15,"cote, remisier, duché, liquidation, spéculation",12,L argent.
16,"loterie bienfaisance, comptant, taverne, bienfaisance, cabinet agent",4,L argent.
17,"paillasse, pareil tas, tapis tenture, maison crédit, guichet",6,L argent.
18,"rue figure, honte mois, gentil cadeau, huissier huissier, partag",2,L argent.
19,"porte palier, sac cuir, prévenu, désir nouveau, cuir vilain",2,L argent.
20,"débiteur, écurie remise, arbitrage, chaussée étage, coulisse",8,L argent.
21,"cours cent, œuvre travail, hausse, aquarelle, fourmi humain",8,L argent.
23,"liaison idée, reflet rouge, sang goutte, coupon, dortoir",3,L argent.
24,"péristyle, remisier, temps vendeur, fortune époque, gros liquidation",2,L argent.
25,"cent action, émission nouveau, prime, émission, salle commis",4,L argent.
26,"long chemise, cochon cochon, rouler, digne triste, voiture droit",3,L argent.
27,"droite arbre, rubis, russe, frère lutte, ininterrompu voiture",1,L argent.
28,"hausse, bilan, actionnaire, baisse, émission",26,L argent.
0,"pigeonnier, cheveu roux, lueur bougie, auberge chambre, pigeonnier brique",12,1868 Madeleine Ferat.
1,"noiraud, fanatique, protestant, bible, implacable",41,1868 Madeleine Ferat.
2,"peignoir, bosquet, impur, tronc arbre, protestant",4,1868 Madeleine Ferat.
3,"tesson, tas papier, flacon, filet sang, honneur tas",1,1868 Madeleine Ferat.
4,"noiraud, exquise politesse, chambre bleu, poussin, adolescent",5,1868 Madeleine Ferat.
5,"malheureux malheureux, lâche malheureux, estime, heureux félicité, figure doux",13,1868 Madeleine Ferat.
6,"douceur point, éternel cantiqu, médecin avocat, esprit brusquerie, solitude vert",1,1868 Madeleine Ferat.
7,"testament, loi loi, adoptif, ancien amant, juge paix",4,1868 Madeleine Ferat.
10,"protestant, démon, crochet, fanatique, causerie amour",3,1868 Madeleine Ferat.
11,"noiraud, haie aubépine, mauvais rêve, pacha, bible",3,1868 Madeleine Ferat.
12,"atroce regard, nerveux gaieté, mesure talon, ville camarade, premier face",3,1868 Madeleine Ferat.
13,"galette, altéré, physionomie lèvre, atroce geste, souffrance atroce",1,1868 Madeleine Ferat.
14,"ancien marchand, marchand bestial, marchand habit, maison bourgeois, désir ardent",5,1868 Madeleine Ferat.
15,"noiraud, comte notaire, ardent fanatique, fanatique, gentilhomme",2,1868 Madeleine Ferat.
16,"secousse nerveux, niaiserie, chagrin sensation, canapé lèvre, passion pareil",1,1868 Madeleine Ferat.
18,"tai fou, noiraud, charron, envie vue, volonté regard",4,1868 Madeleine Ferat.
21,"laboratoire, manuscrit, fiole, appareil, cave feu",7,1868 Madeleine Ferat.
22,"bohémien, poitrine étreinte, large fleuve, rêve part, paysage",4,1868 Madeleine Ferat.
23,"flacon, coupure, absinthe, boisson, mémoire souvenir",2,1868 Madeleine Ferat.
24,"trou haie, bel saison, rousseur, heureux coin, mat",2,1868 Madeleine Ferat.
27,"bosquet, pomme galette, couvert nappe, violent poitrine, visage trait",5,1868 Madeleine Ferat.
28,"pensionnat, élevé famille, poupée mal, géant champ, amie excellent",1,1868 Madeleine Ferat.
0,"gaucherie, poète, ami lettre, peuple liberté, phrase vide",7,1866 Le voeu d une morte.
1,"salon bleu, vœu mort, moqueur, impasse, cordialité",15,1866 Le voeu d une morte.
2,"haut arbre, fraîcheur pénétrant, préau, guide, barque",3,1866 Le voeu d une morte.
4,"course marche, dame jeunesse, adorable terrible, puissance nièce, fou garde",1,1866 Le voeu d une morte.
5,"bienfait pauvre, vague extase, écoute ami, genou tapis, soupire",1,1866 Le voeu d une morte.
6,"visiteur, canot, transparent silence, cher esprit, rideau feuille",2,1866 Le voeu d une morte.
10,"libéral, lit mort, haut haut, lettre tristesse, déclaration rire",6,1866 Le voeu d une morte.
12,"poitrine pardon, vide orgueil, fou désespoir, côté lutte, atroce frisson",1,1866 Le voeu d une morte.
15,"cri demi, circonstance rencontre, œuvre agonie, besoin reconnaissance, désespoir suprême",1,1866 Le voeu d une morte.
16,"impasse, fruitière, matin liberté, fenêtre couvent, couvent jardin",1,1866 Le voeu d une morte.
17,"dictionnaire, auteur, gothique, tombeau, cœur éveillé",3,1866 Le voeu d une morte.
18,"papier larme, chaud rapide, parti violence, sérénité fier, rire plaisant",2,1866 Le voeu d une morte.
